Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
709,41.3,12.3,17.4,11.1,0.0,0.0,78.9,0.0,198.0,0.2,283.7,0.5,0.2,0.1,0.077,0.4,33.3,3.0,1.6,15.8,0.0,4.8,0.0,103.0,0.2,1.0,376.2,0.034,1144.4,1560.2,0.1,1.7,240.5
172,2.6,0.7,0.7,0.8,0.0,0.0,35.1,0.0,95.5,0.1,151.0,0.007,0.039,0.045,0.092,0.4,4.6,0.6,0.4,0.0,0.027,0.7,0.0,26.7,0.021,0.6,51.6,0.064,391.6,737.3,0.1,0.7,65.002
371,8.9,1.7,2.2,2.3,0.0,0.0,67.6,0.0,193.0,0.2,304.6,0.057,0.5,0.042,0.057,0.6,11.2,2.9,1.0,0.0,0.0,0.0,0.0,100.4,0.2,1.0,108.1,0.008,721.8,1671.4,0.1,1.4,177.901
174,4.5,1.1,0.9,1.7,0.0,0.0,31.3,0.0,86.3,0.082,125.1,0.037,0.2,0.02,0.014,0.2,6.8,1.2,0.5,0.0,0.077,0.8,0.001,66.4,0.008,0.9,38.2,0.086,307.1,476.4,0.09,0.8,103.111
755,59.3,12.4,31.2,7.9,0.0,0.0,51.9,0.0,190.3,0.2,189.8,0.3,0.4,0.085,0.046,0.3,15.5,2.6,1.0,0.0,0.0,0.0,0.0,135.9,0.013,5.0,214.4,0.095,649.3,1386.2,0.1,1.2,252.4
383,19.0,3.2,5.9,8.5,19.3,0.0,32.9,0.0,26.7,0.8,129.5,0.004,0.028,0.059,0.049,0.1,13.7,0.5,0.2,4.5,0.0,0.0,0.0,34.9,0.3,2.1,39.0,0.082,364.9,364.9,0.001,1.1,112.727
255,11.8,2.8,5.2,2.8,0.0,0.0,34.7,0.0,90.1,0.06,95.8,0.063,0.1,0.064,0.086,0.2,10.6,1.8,0.8,2.1,0.0,0.0,0.0,17.2,0.1,0.6,48.6,0.056,474.8,657.8,0.081,0.7,66.478
20,0.9,0.2,0.2,0.4,0.2,0.0,3.1,0.0,52.4,0.052,9.5,0.028,0.025,0.068,0.004,0.1,0.3,0.1,0.072,2.2,0.02,1.0,0.018,3.1,0.062,0.085,2.8,0.002,56.3,30.9,0.059,0.1,9.553
125,2.6,0.7,0.5,1.0,0.0,0.0,23.8,0.0,52.9,0.084,101.0,0.001,0.1,0.079,0.064,0.2,2.1,1.0,0.5,0.0,0.071,1.1,0.091,12.9,0.079,0.4,52.9,0.09,250.3,330.2,0.082,0.5,39.739
349,12.0,2.2,3.7,2.2,0.0,0.0,56.0,0.0,125.4,0.2,161.1,0.029,0.055,0.2,0.043,0.012,0.3,21.9,2.8,1.6,0.0,0.041,1.1,0.066,18.2,0.2,1.0,73.0,0.003,713.6,1000.9,0.089,69.873
493,17.3,3.0,5.8,4.1,0.0,0.0,82.1,0.0,189.1,0.3,208.7,0.087,0.2,0.5,0.035,0.04,0.8,31.4,4.3,2.6,0.0,0.016,3.1,0.089,34.1,0.2,1.6,111.6,0.096,945.5,1351.6,0.1,102.315
